#,Wilayah,Jumlah Stok (Kg),tahun_filter,diambil_pada_utc,Jenis Komoditas,Nama,Alamat
7.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Dinas Pertanian dan Pangan,"Jl. Sugiman No.21, Serut, Pengasih, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652"
8.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Jatimakmur,"Jimatan, Jatirejo, Lendah"
9.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,KWT Giriloji,"Tegiri II, Hargowilis, Kokap"
10.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,KWT Sarwodadi,"Menguri, Hargotirto, Kokap"
1.0,Provinsi DI Yogyakarta,0.0,2026,2026-08-30T15:27:16.101016+00:00,,,
2.0,Kabupaten Kulon Progo,0.0,2026,2026-08-30T15:27:16.101016+00:00,,,
3.0,Kabupaten Bantul,0.0,2026,2026-08-30T15:27:16.101016+00:00,,,
4.0,Kabupaten Gunung Kidul,0.0,2026,2026-08-30T15:27:16.101016+00:00,,,
5.0,Kota Yogyakarta,101.46,2026,2026-08-30T15:27:16.101016+00:00,,,
6.0,Kabupaten Sleman,182.24,2026,2026-08-30T15:27:16.101016+00:00,,,
7.0,Kecamatan Sleman,0.0,2026,2026-08-30T15:27:16.101016+00:00,,,
,Total,283.7,2026,2026-08-30T15:27:16.101016+00:00,,,
1.0,,89.45,2026,2026-08-30T15:27:16.101385+00:00,Gabah Kering Giling (GKG),,
2.0,,135.19,2026,2026-08-30T15:27:16.101385+00:00,Beras Medium,,
3.0,,59.02,2026,2026-08-30T15:27:16.101385+00:00,Beras Premium,,
4.0,,0.0,2026,2026-08-30T15:27:16.101385+00:00,Jagung,,
5.0,,15.0,2026,2026-08-30T15:27:16.101385+00:00,Kedelai,,
6.0,,25.0,2026,2026-08-30T15:27:16.101385+00:00,Kacang Tanah,,
7.0,,0.0,2026,2026-08-30T15:27:16.101385+00:00,Kacang Hijau,,
,,283.7,2026,2026-08-30T15:27:16.101385+00:00,Total,,
1.0,Provinsi DI Yogyakarta,,2026,2026-08-30T15:27:16.101669+00:00,,Dinas Pertanian dan Ketahanan Pangan DIY,Jl. Gondosuli No. 6 Yogyakarta
2.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Among Tani,"Pencengan , Kedundang, Temon"
3.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Asih,"Plono Timur, Pagerharjo, Samigaluh"
4.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Asri Lestari,"Kepiton, Banjar Asri, Kalibawang"
5.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Catur Legowo,"Sidatan, Kalidengen, Temon"
6.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Cipta Boga,Galur Kulon Progo
7.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Dinas Pertanian dan Pangan,"Jl. Sugiman No.21, Serut, Pengasih, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652"
8.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,Jatimakmur,"Jimatan, Jatirejo, Lendah"
9.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,KWT Giriloji,"Tegiri II, Hargowilis, Kokap"
10.0,Kabupaten Kulon Progo,,2026,2026-08-30T15:27:16.101669+00:00,,KWT Sarwodadi,"Menguri, Hargotirto, Kokap"
5.0,Kota Yogyakarta,79.1,2019,2026-08-31T02:02:33.264581+00:00,,,
6.0,Kabupaten Sleman,0.0,2019,2026-08-31T02:02:33.264581+00:00,,,
,Total,79.1,2019,2026-08-31T02:02:33.264581+00:00,,,
1.0,,0.0,2019,2026-08-31T02:02:33.265077+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2019,2026-08-31T02:02:33.265077+00:00,Beras Medium,,
3.0,,9.87,2019,2026-08-31T02:02:33.265077+00:00,Beras Premium,,
5.0,,0.0,2019,2026-08-31T02:02:33.265077+00:00,Kedelai,,
,,79.1,2019,2026-08-31T02:02:33.265077+00:00,Total,,
5.0,Kota Yogyakarta,79.1,2020,2026-08-31T02:02:36.004093+00:00,,,
6.0,Kabupaten Sleman,0.0,2020,2026-08-31T02:02:36.004093+00:00,,,
,Total,79.1,2020,2026-08-31T02:02:36.004093+00:00,,,
1.0,,0.0,2020,2026-08-31T02:02:36.004549+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2020,2026-08-31T02:02:36.004549+00:00,Beras Medium,,
3.0,,9.87,2020,2026-08-31T02:02:36.004549+00:00,Beras Premium,,
,,79.1,2020,2026-08-31T02:02:36.004549+00:00,Total,,
5.0,Kota Yogyakarta,79.1,2021,2026-08-31T02:02:38.800940+00:00,,,
6.0,Kabupaten Sleman,0.0,2021,2026-08-31T02:02:38.800940+00:00,,,
,Total,79.1,2021,2026-08-31T02:02:38.800940+00:00,,,
1.0,,0.0,2021,2026-08-31T02:02:38.801378+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2021,2026-08-31T02:02:38.801378+00:00,Beras Medium,,
