periode,periode_mulai,periode_selesai,provinsi,kabupaten_kota,kecamatan,kode_wilayah,bera_ha,persiapan_lahan_ha,tanam_ha,vegetatif_1_ha,vegetatif_2_ha,generatif_1_ha,generatif_2_ha,panen_ha,total_luas_ha,sumber_layer,diambil_pada_utc
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Ngawen,340313,725.471,0.222,5.334,47.224,269.232,303.344,11.889,8.0,1370.716,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Gedangsari,340314,555.541,0.434,7.812,66.079,235.02,27.886,41.557,11.935,946.264,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Saptosari,340315,898.23,1.624,12.105,43.845,31.37,9.153,61.412,24.506,1082.245,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Girisubo,340316,1619.57,14.297,45.497,104.695,32.54,28.147,47.954,16.382,1909.082,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Tanjungsari,340317,1250.94,2.733,13.743,58.643,23.738,8.121,42.557,20.693,1421.168,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Purwosari,340318,411.263,2.93,16.114,48.341,43.153,9.766,32.777,11.292,575.636,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Gamping,340401,250.138,5.511,4.798,49.98,61.525,41.048,142.814,58.627,614.441,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Godean,340402,303.65,4.855,8.542,54.102,104.095,91.072,272.842,113.104,952.262,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Moyudan,340403,226.879,5.407,10.243,67.655,177.864,270.312,275.675,97.46,1131.495,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Minggir,340404,211.587,3.922,5.951,44.545,147.115,249.595,392.066,65.87,1120.651,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Seyegan,340405,386.851,17.414,10.577,23.824,76.761,98.128,283.06,159.185,1055.8,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Mlati,340406,356.884,12.532,7.761,39.823,50.511,28.563,141.354,66.606,704.034,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Depok,340407,92.386,3.56,4.481,26.826,25.414,19.459,37.691,8.533,218.35,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Berbah,340408,395.087,78.506,70.9,109.63,57.022,65.79,139.825,82.629,999.389,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Prambanan,340409,458.238,45.71,50.542,111.355,158.944,89.607,128.538,56.114,1099.048,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Kalasan,340410,579.902,82.549,57.043,69.032,65.138,65.749,254.671,148.297,1322.381,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Ngemplak,340411,614.839,73.718,55.82,70.289,76.598,72.483,237.679,156.967,1358.393,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Ngaglik,340412,585.308,24.897,16.5,62.359,45.801,49.617,258.186,125.834,1168.502,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Sleman,340413,638.224,41.515,16.083,35.65,54.347,59.05,215.122,161.53,1221.521,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Tempel,340414,492.71,49.962,26.594,31.728,49.699,53.978,181.878,163.447,1049.996,simontadi2/18,2026-08-30T16:43:22.197914+00:00
