tanggal,varian,harga,sebaran_pasar,n_pasar,satuan,komoditas
2024-02-06,Telur Ayam Ras,27000.0,0.0,3,kg,Telur Ayam
2024-02-06,Tempe Bungkus,15333.0,2020.7,3,kg,Kedelai
2024-02-06,Tepung Terigu,10667.0,1154.7,3,kg,Tepung Terigu
2024-02-06,Tomat,22250.0,2500.0,4,kg,Tomat
2024-02-06,Udang Basah,81333.0,577.4,3,kg,Udang
2024-02-07,Bawang Bombai,26867.0,3202.4,5,kg,Bawang
2024-02-07,Bawang Merah,26033.0,4485.2,5,kg,Bawang
2024-02-07,Bawang Putih Honan,35467.0,3452.9,5,kg,Bawang
2024-02-07,Bawang Putih Kating,39733.0,830.0,5,kg,Bawang
2024-02-07,Beras Khusus,22083.0,589.3,2,kg,Beras
2024-02-07,Beras Medium,14478.0,318.1,5,kg,Beras
2024-02-07,Beras Premium,15867.0,1026.3,3,kg,Beras
2024-02-07,Beras SPHP Bulog,10900.0,70.7,5,kg,Beras
2024-02-07,Cabai Merah Besar,72467.0,13586.3,5,kg,Cabai
2024-02-07,Cabai Merah Keriting,53733.0,14627.6,5,kg,Cabai
2024-02-07,Cabai Rawit Hijau,38533.0,3271.1,5,kg,Cabai
2024-02-07,Cabai Rawit Merah,36400.0,2607.7,5,kg,Cabai
2024-02-07,Daging Ayam Kampung,92200.0,13292.9,5,ekor,Daging Ayam
2024-02-07,Daging Ayam Ras,35533.0,1120.5,5,kg,Daging Ayam
2024-02-07,Daging Sapi Paha Belakang,132000.0,2738.6,5,kg,Daging Ruminansia
2024-02-07,Daging Sapi Paha Depan,125000.0,14142.1,5,kg,Daging Ruminansia
2024-02-07,Daging Sapi Sandung Lamur,93333.0,17360.6,5,kg,Daging Ruminansia
2024-02-07,Daging Sapi Tetelan,68333.0,19720.3,4,kg,Daging Ruminansia
2024-02-07,Garam Halus,12600.0,2190.9,5,kg,Garam
2024-02-07,Gula Pasir Curah,16800.0,273.9,5,kg,Gula
2024-02-07,Gula Pasir Kemasan,17500.0,707.1,5,kg,Gula
2024-02-07,Ikan Bandeng,37667.0,5831.0,5,kg,Ikan
2024-02-07,Ikan Kembung,33667.0,1414.2,2,kg,Ikan
2024-02-07,Ikan Teri,55467.0,17049.9,5,kg,Ikan
2024-02-07,Ikan Tongkol,33400.0,2802.8,5,kg,Ikan
2024-02-07,Jagung Lokal Pipilan,10833.0,235.7,2,kg,Jagung
2024-02-07,Jeruk Lokal,22033.0,2083.0,5,kg,Jeruk
2024-02-07,Kacang Hijau,21767.0,1689.8,5,kg,Kacang-Kacangan
2024-02-07,Kacang Panjang,8400.0,1140.2,5,kg,Kacang Panjang
2024-02-07,Kacang Tanah,28667.0,1779.5,5,kg,Kacang-Kacangan
2024-02-07,Kangkung,7800.0,1788.9,5,kg,Kangkung
2024-02-07,Kedelai Impor,13667.0,1918.5,5,kg,Kedelai
2024-02-07,Kedelai Lokal,14667.0,4645.8,3,kg,Kedelai
2024-02-07,Kentang Sedang,19800.0,836.7,5,kg,Kentang
2024-02-07,Ketela Pohon,6267.0,830.0,5,kg,Ketela Pohon
2024-02-07,Ketimun Sedang,6900.0,894.4,5,kg,Ketimun
2024-02-07,Mie Instan,3080.0,178.9,5,bks,Mie Instan
2024-02-07,Minyak Goreng Sawit Curah,15500.0,623.6,5,lt,Minyak Sawit
2024-02-07,Minyak Goreng Sawit Kemasan Premium,18600.0,1949.4,5,lt,Minyak Sawit
2024-02-07,Minyakita,15133.0,298.1,5,lt,Minyak Sawit
2024-02-07,Pisang Lokal,16733.0,2994.4,5,kg,Pisang
2024-02-07,Sawi Hijau,8600.0,894.4,5,kg,Sawi Hijau
2024-02-07,Susu Bubuk,42625.0,530.3,2,400gr,Susu
2024-02-07,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-07,Susu Kental Manis,13627.0,2346.3,5,370gr,Susu
2024-02-07,Tahu Putih,11400.0,894.4,5,kg,Kedelai
2024-02-07,Telur Ayam Kampung,56900.0,10219.5,5,kg,Telur Ayam
2024-02-07,Telur Ayam Ras,26667.0,471.4,5,kg,Telur Ayam
2024-02-07,Tempe Bungkus,14600.0,2043.3,5,kg,Kedelai
2024-02-07,Tepung Terigu,10700.0,974.7,5,kg,Tepung Terigu
2024-02-07,Tomat,22000.0,1732.1,5,kg,Tomat
2024-02-07,Udang Basah,78200.0,6474.7,5,kg,Udang
2024-02-12,Bawang Bombai,25533.0,2754.8,5,kg,Bawang
2024-02-12,Bawang Merah,27667.0,4921.6,5,kg,Bawang
