# Unnamed: 0_level_1,Tanggal Unnamed: 1_level_1,Komoditas Bawang Merah Bawang Putih Bonggol Beras Medium Beras premium Beras SPHP Brokoli Cabe Merah Besar Cabe Merah Keriting Cabe Rawit Merah Daging Ayam Ras Daging Sapi Murni Gula Pasir Konsumsi Jagung Pipilan Kering Kacang Panjang Kedelai Biji Kering (Impor) Minyak Goreng Kemasan Pakcoy Sawi Putih Telur Ayam Ras Tepung Terigu Kemasan Terong Timun Tomat Wortel,Harga (Rp/Kg) Unnamed: 3_level_1
519,2026-05-18,Beras SPHP,12460
520,2026-05-18,Tepung Terigu Kemasan,11700
521,2026-05-18,Sawi Putih,8000
522,2026-05-18,Pakcoy,9000
523,2026-05-18,Wortel,13000
524,2026-05-18,Brokoli,22000
525,2026-05-18,Kacang Panjang,9000
526,2026-05-18,Terong,9000
527,2026-05-18,Timun,8000
528,2026-05-18,Tomat,14000
529,2026-05-11,Beras Medium,13132
530,2026-05-11,Gula Pasir Konsumsi,17739
531,2026-05-11,Minyak Goreng Kemasan,23136
532,2026-05-11,Daging Ayam Ras,34850
533,2026-05-11,Telur Ayam Ras,26318
534,2026-05-11,Daging Sapi Murni,147941
535,2026-05-11,Bawang Merah,41769
536,2026-05-11,Cabe Merah Keriting,44500
537,2026-05-11,Cabe Merah Besar,48889
538,2026-05-11,Jagung Pipilan Kering,6175
539,2026-05-11,Kedelai Biji Kering (Impor),10775
540,2026-05-11,Bawang Putih Bonggol,31042
541,2026-05-11,Cabe Rawit Merah,77955
542,2026-05-11,Beras premium,14764
543,2026-05-11,Beras SPHP,12460
544,2026-05-11,Tepung Terigu Kemasan,11609
545,2026-05-11,Sawi Putih,9000
546,2026-05-11,Pakcoy,8000
547,2026-05-11,Wortel,12000
548,2026-05-11,Brokoli,22000
549,2026-05-11,Kacang Panjang,8000
550,2026-05-11,Terong,8000
551,2026-05-11,Timun,9000
552,2026-05-11,Tomat,17000
553,2026-05-07,Beras Medium,13365
554,2026-05-07,Gula Pasir Konsumsi,18019
555,2026-05-07,Minyak Goreng Kemasan,22200
556,2026-05-07,Daging Ayam Ras,36048
557,2026-05-07,Telur Ayam Ras,26660
558,2026-05-07,Daging Sapi Murni,147647
559,2026-05-07,Bawang Merah,41793
560,2026-05-07,Cabe Merah Keriting,42609
561,2026-05-07,Cabe Merah Besar,48722
562,2026-05-07,Jagung Pipilan Kering,6175
563,2026-05-07,Kedelai Biji Kering (Impor),10758
564,2026-05-07,Bawang Putih Bonggol,31593
565,2026-05-07,Cabe Rawit Merah,71913
566,2026-05-07,Beras premium,14764
567,2026-05-07,Beras SPHP,12431
568,2026-05-07,Tepung Terigu Kemasan,11660
569,2026-05-07,Sawi Putih,9000
570,2026-05-07,Pakcoy,9000
571,2026-05-07,Wortel,14000
572,2026-05-07,Brokoli,23000
573,2026-05-07,Kacang Panjang,9000
574,2026-05-07,Terong,9000
575,2026-05-07,Timun,9000
576,2026-05-07,Tomat,18000
577,2026-05-04,Beras Medium,13352
578,2026-05-04,Gula Pasir Konsumsi,17761
579,2026-05-04,Minyak Goreng Kemasan,21955
580,2026-05-04,Daging Ayam Ras,35400
581,2026-05-04,Telur Ayam Ras,26795
582,2026-05-04,Daging Sapi Murni,147647
583,2026-05-04,Bawang Merah,40500
584,2026-05-04,Cabe Merah Keriting,39932
585,2026-05-04,Cabe Merah Besar,45722
586,2026-05-04,Jagung Pipilan Kering,6175
587,2026-05-04,Kedelai Biji Kering (Impor),10758
588,2026-05-04,Bawang Putih Bonggol,31292
589,2026-05-04,Cabe Rawit Merah,66318
590,2026-05-04,Beras premium,14774
591,2026-05-04,Beras SPHP,12433
592,2026-05-04,Tepung Terigu Kemasan,11630
593,2026-05-04,Sawi Putih,8000
594,2026-05-04,Pakcoy,8000
595,2026-05-04,Wortel,12000
